,City,Latitude,Longitude,Current Temp (F),Humidity,Clouds,Wind
96,Tiznit,29.7,-9.73,57.94,72,0,6.2
97,Tahoua,14.89,5.26,78.8,13,0,9.17
98,Nicoya,10.15,-85.45,87.8,45,40,24.16
99,Hasaki,35.73,140.83,35.29,75,75,3.36
100,Umm Kaddadah,13.6,26.69,64.33,39,0,7.43
101,Tuktoyaktuk,69.44,-133.03,-20.21,75,20,10.29
102,Padang,-0.92,100.36,79.63,100,48,11.01
103,Moussoro,13.64,16.49,68.02,24,0,8.21
104,Hobart,-42.88,147.33,62.6,77,75,10.29
105,Russell,-33.01,-68.8,87.8,35,0,11.41
106,Verkhoyansk,67.55,133.39,-66.04,0,8,2.39
107,Jardim,-21.48,-56.15,92.82,59,32,12.24
108,Torbay,47.66,-52.73,33.8,100,90,19.46
109,Teluknaga,-6.1,106.64,78.8,83,40,10.29
110,Sitka,37.17,-99.65,44.44,81,0,4.52
111,Morondava,-20.3,44.28,86.07,80,92,5.64
112,Vardo,39.62,-77.74,35.56,51,20,8.05
113,Upernavik,72.79,-56.15,-9.61,100,36,13.69
114,Hermanus,-34.42,19.24,68.97,62,0,6.53
115,Lagoa,37.14,-8.45,55.4,71,20,2.24
116,Barranca,-10.75,-77.76,72.43,98,12,13.24
117,Maumere,-8.63,122.22,78.82,100,92,14.25
118,Luderitz,-26.65,15.16,69.78,55,0,23.76
119,Sandane,61.77,6.22,30.69,100,90,1.12
120,Puerto Narino,-3.77,-70.38,82.4,88,75,4.7
121,Pedro II,-4.43,-41.45,77.07,98,80,3.18
122,Doha,25.29,51.53,69.04,88,0,5.82
123,Miraflores,5.2,-73.14,63.43,63,24,2.62
124,Saint-Pierre,48.95,4.24,42.82,80,90,8.05
125,Kodiak,39.95,-94.76,32.58,100,90,8.99
126,Digha,21.62,87.51,64.02,100,0,4.18
127,Moctezuma,29.81,-109.68,59.97,50,32,2.17
128,Waddan,29.16,16.14,50.07,63,44,6.64
129,Caravelas,-17.73,-39.27,80.4,100,0,10.22
130,Huarmey,-10.07,-78.15,79.05,58,24,5.19
131,Osypenko,48.04,34.39,24.8,85,0,6.71
132,Alindao,5.04,21.21,75.67,55,36,7.09
133,Bud,62.91,6.91,23.04,92,40,8.05
134,Butaritari,3.07,172.79,83.86,100,76,13.91
135,Glendive,47.11,-104.71,25.39,84,90,5.82
136,Dingle,11.0,122.67,73.69,83,8,14.14
137,Yairipok,24.67,94.07,44.8,83,0,2.28
138,Mareeba,-16.99,145.42,77.0,83,75,10.29
139,Puerto Carreno,6.19,-67.49,93.2,44,20,4.7
140,Siilinjarvi,63.08,27.67,21.2,85,90,6.93
141,Bilma,18.69,12.92,55.02,27,0,5.41
142,Bredasdorp,-34.53,20.04,68.0,72,0,9.17
143,Berlevag,70.86,29.09,21.2,79,0,13.87
144,Lensk,60.71,114.91,-36.16,0,0,2.62
145,Baherden,38.44,57.43,40.35,85,0,2.73
146,Tateyama,36.66,137.31,31.93,100,92,2.62
147,Kirensk,57.78,108.12,0.43,71,88,2.73
148,Saldanha,41.42,-6.55,37.33,93,12,0.94
149,Saint-Philippe,45.36,-73.48,23.32,79,90,2.24
150,Nikolskoye,59.7,30.79,24.8,92,90,6.71
151,Inhambane,-23.87,35.38,80.6,83,90,9.17
152,Saint-Augustin,44.83,-0.61,41.79,70,0,3.36
153,Rafaela,-31.25,-61.49,75.76,99,0,11.12
154,Thompson,55.74,-97.86,-20.21,68,5,10.29
155,Alice Springs,-23.7,133.88,86.0,22,0,5.82
156,Broome,52.47,1.45,46.33,93,75,8.05
157,Zyryanka,65.73,150.89,-31.25,0,44,2.28
158,Awjilah,29.14,21.3,59.07,72,48,15.93
159,Garissa,-0.46,39.64,81.52,66,88,6.87
160,San Isidro,16.74,121.63,66.58,98,32,1.61
161,Geraldton,49.72,-86.95,24.8,92,90,14.99
162,Port Hardy,50.7,-127.42,33.8,81,40,4.29
163,Plouzane,48.38,-4.62,46.4,75,90,8.05
164,Gizo,31.8,34.94,55.45,54,0,9.17
165,Pithoragarh,29.59,80.22,36.16,74,0,3.06
166,Ibicui,-14.84,-39.99,76.48,100,48,9.44
167,Cabatuan,16.95,121.67,66.58,98,32,1.61
168,Partapur,23.59,74.18,56.23,53,0,8.43
169,Kachug,53.96,105.89,-16.63,67,8,2.62
170,Churapcha,62.0,132.43,-39.31,0,44,4.74
171,San Policarpo,12.18,125.51,77.25,94,92,17.27
172,Bambanglipuro,-7.95,110.28,73.92,96,92,6.31
173,Beruwala,6.48,79.98,79.32,100,24,7.2
174,Tiksi,71.64,128.87,-43.4,0,8,2.28
175,Sao Filipe,14.9,-24.5,73.87,90,0,17.49
176,Sorland,67.67,12.69,28.4,92,90,18.34
177,Bilibino,68.06,166.44,-38.81,0,76,2.95
178,Kloulklubed,7.04,134.26,77.0,88,75,5.82
179,Touros,-5.2,-35.46,85.8,71,68,12.8
180,Woodward,36.43,-99.39,50.54,58,1,10.29
181,Abha,18.22,42.5,59.0,47,0,6.93
182,Verkhnevilyuysk,63.45,120.31,-44.39,0,0,4.97
183,Namwala,-15.75,26.45,72.43,78,68,8.43
184,Necochea,-38.55,-58.74,81.79,69,44,5.64
185,Thinadhoo,0.53,72.93,80.22,100,44,4.97
186,Flin Flon,54.77,-101.88,-9.41,57,5,9.17
187,Ponta do Sol,-20.63,-46.0,89.26,50,0,5.53
188,Bubaque,11.28,-15.83,84.0,87,0,6.2
189,Tuatapere,-46.13,167.69,50.7,100,24,7.65
190,Faanui,-16.48,-151.75,84.31,98,76,13.69
191,Mersing,2.43,103.84,80.17,88,80,13.69
192,Kichera,55.93,110.1,-15.28,62,20,2.28
193,Khandyga,62.65,135.58,-46.51,0,8,2.95
194,Jand,33.43,72.02,37.69,82,36,2.62
195,Mahebourg,-20.41,57.7,80.6,74,75,9.17
196,Batemans Bay,-35.71,150.18,68.88,96,0,2.84
197,Bahar,34.91,48.44,30.2,74,0,2.24
198,Pacific Grove,36.62,-121.92,53.37,89,90,15.37
199,Cayenne,4.94,-52.33,84.2,79,80,14.99
200,Longyearbyen,78.22,15.63,1.4,77,20,8.05
201,Ulaanbaatar,47.92,106.92,-18.41,61,0,4.47
202,Fortuna,38.18,-1.13,53.04,82,20,2.84
203,Sabzevar,36.21,57.68,35.26,77,0,2.17
204,Nantucket,41.28,-70.1,33.62,51,1,11.41
205,Severo-Kurilsk,50.68,156.12,22.17,100,20,4.74
206,Gillette,44.29,-105.5,37.04,43,1,9.17
207,Nemuro,43.32,145.57,38.23,89,76,27.11
208,Sungaipenuh,-2.08,101.38,66.22,99,80,0.94
209,Lata,30.78,78.62,33.73,63,0,2.95
210,Dibulla,11.27,-73.31,89.6,38,20,18.34
211,Beringovskiy,63.05,179.32,9.61,88,80,29.46
212,Mojokerto,-7.46,112.43,77.0,94,40,6.93
213,Gandajika,-6.75,23.95,74.95,85,0,2.73
214,Almaznyy,48.03,40.04,33.8,100,75,11.18
215,Pevek,69.7,170.27,-11.54,95,80,16.15
216,Isangel,-19.55,169.27,78.15,100,92,14.25
217,Grand Gaube,-20.01,57.66,80.6,74,75,9.17
218,Faya,18.39,42.45,59.0,47,0,6.93
219,Bratsk,56.15,101.63,-0.41,84,0,6.71
220,Brekstad,63.69,9.67,17.31,100,40,5.82
221,Hualmay,-11.1,-77.61,77.2,70,20,7.65
222,Pyay,18.82,95.22,64.69,83,0,6.98
223,Cherskiy,68.75,161.3,-30.89,53,56,3.29
224,Kamaishi,39.28,141.86,35.62,84,36,10.33
225,Tessalit,20.2,1.01,63.07,17,0,5.41
226,Saint-Joseph,43.56,6.97,41.52,75,0,3.36
227,Tanout,14.97,8.88,64.2,28,0,8.66
228,Kavaratti,10.57,72.64,82.65,100,0,5.86
229,Sabha,27.03,14.43,42.46,58,0,5.75
230,Iranshahr,27.21,60.69,60.8,48,32,4.7
231,Namatanai,-3.66,152.44,83.14,100,64,10.67
232,Atar,20.52,-13.05,84.2,9,20,11.41
233,Mbanza-Ngungu,-5.25,14.87,79.72,71,76,4.41
234,Naze,5.43,7.07,86.0,74,20,4.7
235,Kenai,60.55,-151.26,18.45,77,1,5.82
236,Ak-Dovurak,51.17,90.6,-26.39,35,24,2.06
237,Fairbanks,64.84,-147.72,-14.3,78,1,2.95
238,Boffa,10.18,-14.04,88.99,48,0,6.64
239,Sao Joao da Barra,-21.64,-41.05,89.6,49,0,23.04
240,Guerrero Negro,27.97,-114.04,61.72,87,76,9.89
241,Raudeberg,61.99,5.14,29.55,100,75,5.82
242,Sur,22.57,59.53,69.73,100,0,2.17
243,Noumea,-22.28,166.46,68.0,88,0,9.22
244,Calabozo,8.92,-67.43,91.92,40,0,13.69
245,Syracuse,43.05,-76.15,28.63,86,90,10.29
246,Thanjavur,10.79,79.14,71.6,78,0,5.82
247,Dinar,38.07,30.16,30.96,69,75,8.05
248,Yar-Sale,66.83,70.83,2.55,95,64,12.68
249,Mayo,63.59,-135.9,3.2,84,90,2.73
250,Taoudenni,22.68,-3.98,60.6,21,0,5.19
251,Taltal,-25.41,-70.49,71.44,66,0,4.63
252,Pangkalanbuun,-2.68,111.62,74.73,96,88,4.97
253,Shelburne,44.08,-80.2,31.17,86,90,11.41
254,Jumla,29.28,82.18,16.63,68,0,2.62
255,Puerto Maldonado,-12.59,-69.19,33.8,334,75,8.05
256,Songea,-10.68,35.65,71.6,88,40,2.17
257,Southbridge,42.08,-72.03,34.41,47,90,3.36
258,Paita,-5.09,-81.11,62.6,290,0,14.99
259,Alamogordo,32.9,-105.96,55.56,44,1,4.29
260,Angoche,-16.23,39.91,83.68,99,24,15.93
261,Northam,51.04,-4.21,46.9,87,75,8.05
262,Half Moon Bay,37.46,-122.43,52.7,85,90,14.99
263,Bam,29.11,58.36,55.69,37,44,5.64
264,Cabra,37.47,-4.43,46.4,81,0,2.24
265,Margate,-43.03,147.26,62.6,77,75,10.29
266,Gunnedah,-30.98,150.25,73.4,64,24,4.7
267,Lardos,36.09,28.02,48.2,66,40,17.22
268,Itarema,-2.92,-39.92,78.37,100,88,7.65
269,Hofn,64.25,-15.21,32.92,100,88,18.95
270,Dashitou,43.3,128.5,-1.82,55,0,9.78
271,Burnie,-41.05,145.91,64.15,99,0,15.37
272,Barcelona,41.38,2.18,47.3,76,0,4.7
273,Sikeston,36.88,-89.59,37.27,86,90,11.41
274,Matara,-13.74,-72.9,55.4,50,75,12.75
275,Carnarvon,-30.97,22.13,76.66,15,0,6.64
276,Darnah,32.77,22.64,57.27,100,0,25.32
277,College,64.86,-147.8,-6.45,78,1,2.95
278,Klaksvik,62.23,-6.59,37.4,74,76,3.36
279,Peniche,39.36,-9.38,51.8,87,75,1.12
280,Namibe,-15.19,12.15,74.14,100,44,9.22
281,Aden,12.79,45.03,76.3,100,0,10.56
282,Vila Franca do Campo,37.72,-25.43,60.8,82,20,8.05
283,Areosa,41.72,-8.86,46.4,87,56,3.36
284,Pokhara,28.21,83.99,34.23,63,0,2.17
285,Mogadishu,2.04,45.34,79.27,99,0,19.17
286,Salamiyah,35.01,37.05,45.79,50,0,15.7
287,Abeche,13.83,20.83,73.87,23,0,8.77
288,Mitu,36.2,46.09,22.98,82,0,3.18
289,Nichinan,31.65,131.31,45.07,100,12,11.56
290,Pitimbu,-7.47,-34.81,86.0,58,20,18.34
291,Gorontalo,0.54,123.06,71.4,98,100,2.39
292,Bambous Virieux,-20.34,57.76,80.6,74,75,9.17
293,Yong Peng,2.01,103.07,77.97,96,44,4.74
294,Whitehorse,60.72,-135.06,12.2,85,90,2.24
295,Okhotsk,59.36,143.24,-9.16,100,64,5.97
296,Hirara,24.8,125.28,70.54,100,88,8.77
297,Sola,58.89,5.65,44.6,75,75,11.41
298,Sao Jose da Coroa Grande,-8.9,-35.15,84.72,71,0,11.34
299,Statesville,35.78,-80.89,45.39,56,40,8.05
300,Codrington,-28.95,153.24,65.62,93,0,4.7
301,Ust-Tsilma,65.44,52.15,17.71,81,92,4.74
302,Alofi,-19.06,-169.92,82.4,88,92,8.05
303,Segovia,40.95,-4.12,45.1,89,0,3.62
304,Fayaoue,-20.65,166.53,77.38,100,8,15.48
305,Bombay,44.94,-74.57,26.64,81,90,3.36
306,Windhoek,-22.57,17.08,84.97,21,76,3.36
307,Seoul,37.57,126.98,14.95,47,0,9.17
308,Dongli,24.18,117.61,59.0,77,90,17.9
309,Mount Isa,-20.73,139.49,84.2,54,40,9.17
310,Fort Nelson,58.81,-122.69,-2.45,71,88,3.4
311,Rawson,-43.3,-65.11,86.92,18,0,12.8
312,Rome,41.89,12.48,44.02,70,0,4.7
313,Harper,30.3,-99.24,48.29,82,90,8.05
314,Nazca,-14.83,-74.94,75.4,67,56,3.62
315,Ternate,14.29,120.72,77.0,83,75,6.93
316,Tilichiki,60.47,166.1,-27.29,0,0,5.97
317,Halifax,44.65,-63.58,25.66,58,20,14.99
318,Champerico,16.38,-93.6,80.6,51,40,2.24
319,Alta Floresta,-9.87,-56.08,89.22,62,12,2.95
320,Narsaq,60.91,-46.05,28.4,92,90,4.7
321,Kalat,29.03,66.58,27.58,66,36,1.3
322,Ilulissat,69.22,-51.1,-5.81,63,40,3.36
323,Constitucion,23.99,-104.67,59.0,58,90,5.82
324,Kavieng,-2.57,150.8,83.5,100,12,11.79
325,Hammerfest,70.66,23.68,24.75,79,0,2.24
326,Yarada,17.65,83.27,68.0,77,0,4.7
327,Valparaiso,41.47,-87.06,28.09,74,90,12.75
328,Bodden Town,19.28,-81.25,80.6,88,40,14.99
329,Vila,45.18,8.4,38.12,64,0,2.24
330,Kamenka,53.19,44.05,28.88,94,88,4.21
331,Ondjiva,-17.07,15.73,79.73,22,68,13.49
332,Yeppoon,-23.13,150.74,73.4,83,40,5.82
333,Havoysund,71.0,24.66,21.2,79,0,2.24
334,Avanigadda,16.02,80.92,71.23,86,56,1.07
335,Ponta Delgada,37.73,-25.67,60.8,82,20,8.05
336,Jalu,29.03,21.55,55.16,79,32,11.81
337,Vadso,70.07,29.75,15.04,100,75,9.17
338,Melfort,52.87,-104.61,-5.81,70,1,4.7
339,Nevesinje,43.26,18.11,26.29,68,20,3.36
340,Alugan,12.22,125.48,76.85,94,36,17.85
341,Abu Kamal,34.45,40.92,50.35,57,12,13.82
342,Quatre Cocos,-20.21,57.76,80.6,74,75,9.17
343,Iqaluit,63.75,-68.52,-4.01,76,90,9.17
344,Rebrikha,53.08,82.34,18.53,83,92,7.45
345,Katghora,22.51,82.55,40.22,75,0,2.75
346,Mezen,65.85,44.24,21.1,91,92,3.76
347,Laguna,27.52,-110.01,75.2,53,20,4.7
348,Daru,7.99,-10.85,80.63,60,24,0.96
349,Port Blair,11.67,92.75,81.67,100,32,14.83
350,Hastings,-39.64,176.84,65.02,100,92,25.12
351,Egvekinot,66.32,-179.17,-7.12,86,80,3.53
352,Alghero,40.56,8.32,46.4,87,0,2.24
353,Hambantota,6.12,81.12,75.2,100,5,2.24
354,Te Anau,-45.41,167.72,64.57,57,8,3.42
355,Ostersund,63.18,14.64,17.6,92,0,4.7
356,Mundi,32.37,76.01,33.38,75,88,1.74
357,Requena,39.49,-1.1,46.4,87,0,3.36
358,Sechura,-5.56,-80.82,81.26,66,0,15.73
359,Sao Geraldo do Araguaia,-6.4,-48.55,82.93,78,92,2.98
360,Khatanga,71.98,102.47,-16.48,48,32,11.81
361,Antigonish,45.62,-61.99,24.8,79,90,12.75
362,Saravena,6.96,-71.88,77.39,68,0,2.08
363,Elizabethton,36.35,-82.21,34.84,80,90,5.82
364,Freeport,26.54,-78.7,69.8,68,75,10.29
365,Loa Janan,-0.58,117.09,74.96,100,24,2.42
366,Mexico,44.56,-70.55,30.27,74,75,6.93
367,Ancud,-41.87,-73.83,55.4,100,90,14.99
368,Igarka,67.47,86.57,10.3,86,76,15.73
369,Nuristan,38.49,65.64,46.4,93,90,4.7
370,Weligama,5.97,80.42,73.88,100,20,2.08
371,Nago,45.88,10.89,41.81,74,0,3.36
372,Bonga,7.26,36.25,58.67,71,12,2.19
373,Seymchan,62.93,152.39,-39.97,84,24,0.63
374,Husavik,50.56,-96.99,1.88,78,0,19.86
375,Leh,34.16,77.58,-13.87,76,88,1.41
376,Wanxian,30.8,108.39,34.28,94,92,2.53
377,Matay,28.42,30.79,47.2,44,0,10.47
378,Artyshta,54.12,86.29,5.98,71,80,3.76
379,Tura,25.52,90.21,46.12,75,0,2.64
380,Dawlatabad,36.41,64.91,47.02,96,92,3.53
381,Ahuimanu,21.44,-157.84,69.84,89,1,2.39
382,Novomalorossiyskaya,45.63,39.89,39.41,96,92,8.79
383,Pokrovsk,48.28,37.18,30.37,100,92,9.8
384,Prieska,-29.67,22.74,68.62,22,0,6.11
385,Naro,37.29,13.79,51.8,50,5,6.93
386,At-Bashi,41.17,75.81,0.08,56,36,0.96
387,Opuwo,-18.06,13.84,71.9,37,56,8.23
388,Shimoda,34.7,138.93,53.36,100,0,27.13
389,Riyadh,24.63,46.72,66.2,42,0,4.7
390,Sumbe,-11.2,13.84,76.45,100,92,4.65
391,Misratah,32.38,15.09,59.7,81,32,14.03
392,Dubbo,-32.25,148.6,82.4,32,12,8.05
393,Mitsamiouli,-11.38,43.28,80.6,74,75,12.75
394,Dengzhou,32.69,112.08,16.37,73,36,2.98
395,Bedford,52.14,-0.47,46.58,87,90,14.99
396,Jerome,34.75,-112.11,42.94,81,90,8.05
397,Vanimo,-2.67,141.3,83.38,99,32,13.71
398,Consett,54.85,-1.83,47.03,75,40,9.17
399,Harnosand,62.63,17.94,7.47,85,0,3.36
400,Dukat,42.44,22.31,23.17,83,80,5.66
401,Jacmel,18.24,-72.54,84.2,58,20,11.41
402,Coihueco,-36.63,-71.83,86.0,25,20,5.82
403,Henties Bay,-22.12,14.28,64.48,93,44,8.01
404,Port Macquarie,-31.43,152.91,71.6,83,0,6.93
405,Whitianga,-36.83,175.7,66.68,100,0,7.9
406,Lerwick,60.15,-1.15,40.23,86,92,8.05
407,Lavrentiya,65.58,-170.99,33.7,94,92,19.86
408,Beloha,-25.17,45.06,79.1,79,88,2.98
409,Soyo,-6.13,12.37,84.2,74,20,8.05
410,Ostrzeszow,51.43,17.93,37.12,91,92,25.57
411,Beidao,34.57,105.89,6.52,80,12,3.76
412,Manzil Kamil,35.62,10.67,55.71,67,0,12.75
413,Bauta,22.98,-82.55,73.4,56,75,10.29
414,Luanda,-8.83,13.24,78.8,83,20,6.93
415,Richards Bay,-28.77,32.06,74.15,98,92,9.46
416,Belz,50.38,24.01,28.4,86,75,8.95
417,Shihezi,44.3,86.03,0.22,82,92,2.75
418,Port Lincoln,-34.72,135.86,67.49,94,92,11.81
419,Puerto Escondido,15.86,-97.07,84.2,70,5,11.41
420,Calvinia,-31.47,19.78,75.94,21,0,8.43
421,Marsabit,2.34,37.99,75.28,57,20,7.78
422,Pathein,16.78,94.73,64.07,89,0,6.89
423,Kilindoni,-7.91,39.67,83.2,100,12,7.78
424,Marawi,8.0,124.29,58.13,94,48,2.3
425,Mackay,53.65,-115.58,18.23,100,90,8.05
426,Young,-32.7,-57.63,72.13,99,56,11.59
427,Westport,53.8,-9.52,44.6,93,40,13.87
428,Clovis,36.83,-119.7,55.47,64,90,3.36
429,Qaqortoq,60.72,-46.03,28.4,92,90,4.7
430,Adrar,27.87,-0.29,55.4,26,0,8.05
431,Kargasok,59.06,80.87,14.12,80,68,3.76
432,Sompeta,18.93,84.6,58.31,85,0,2.42
433,Mehamn,71.03,27.85,21.2,85,0,9.17
434,Mahibadhoo,3.78,72.97,81.67,100,92,17.18
435,Broken Hill,-31.97,141.45,89.6,14,48,8.05
436,Neiafu,-18.65,-173.98,82.4,83,40,8.05
437,Morehead,38.18,-83.43,30.74,80,90,6.93
438,Kulhudhuffushi,6.62,73.07,82.12,100,8,7.11
439,Tecoanapa,16.99,-99.26,86.0,51,5,6.93
440,Zambezi,-13.55,23.12,66.95,96,92,0.96
441,Lukovetskiy,64.29,41.92,23.0,100,90,6.71
442,Vao,59.1,26.19,24.97,90,88,9.01
443,Lahaina,20.87,-156.68,72.37,56,75,5.82
444,Horsham,-36.71,142.2,71.54,54,0,5.1
445,Rocha,-34.48,-54.34,69.65,100,92,7.34
446,Ishurdi,24.13,89.07,51.2,68,0,8.01
447,Chumphon,10.5,99.18,71.09,95,8,0.85
448,Kerman,30.29,57.06,50.0,57,75,4.7
449,Baraboo,43.47,-89.74,29.82,99,90,16.11
450,Komsomolskiy,67.55,63.78,10.97,83,76,8.79
451,Princeton,41.37,-89.46,28.42,88,90,13.87
452,Palana,59.08,159.95,-17.92,51,0,2.3
453,Aklavik,68.22,-135.01,-18.12,75,40,8.05
454,Cam Ranh,11.92,109.15,73.4,94,75,8.05
455,Rudkobing,54.94,10.71,46.4,87,75,13.87
456,Fiche,9.77,38.74,40.27,60,0,3.65
457,Auki,12.18,6.51,67.13,26,0,9.69
458,Conceicao da Barra,-18.59,-39.73,80.77,90,24,11.48
459,Enshi,30.29,109.48,28.12,97,92,2.86
460,Muroto,33.37,134.14,40.31,100,32,8.57
461,Den Helder,52.96,4.76,47.03,93,90,20.8
462,Majene,-3.54,118.97,83.38,97,64,17.07
463,Pozo Colorado,-23.49,-58.8,94.0,55,12,13.27
464,Caconda,-13.73,15.06,69.11,37,80,8.12
465,Nanyamba,-10.69,39.81,78.8,94,20,2.08
466,Am Timan,11.04,20.28,72.85,26,0,9.46
467,Mandan,46.83,-100.89,27.39,100,90,19.46
468,Oxbow,49.23,-102.17,14.0,72,1,13.87
469,Balao,-2.91,-79.82,86.0,58,75,4.7
470,Lyndon,38.61,-95.68,33.37,88,90,8.05
471,Kurchum,48.57,83.65,28.16,84,88,20.42
472,Twentynine Palms,34.14,-116.05,53.91,96,90,5.82
473,Le Vauclin,14.55,-60.84,83.26,65,90,12.75
474,The Valley,18.22,-63.06,80.67,57,20,10.29
475,Pareora,-44.49,171.21,59.66,98,0,4.54
476,Minab,27.15,57.07,69.21,82,68,2.24
477,Balabac,7.99,117.06,81.44,100,56,19.53
478,Boguchany,58.38,97.46,-4.78,66,36,5.55
479,Brae,60.4,-1.35,40.46,80,92,4.7
480,Phenix City,32.47,-85.0,43.66,63,90,6.93
